timestamp,Laser/Radar,NIS,px,py,vx,vy,yaw,yawd,px_act,py_act,vx_act,vy_act,yaw_act,yawd_act
1477010443000000,L,0,0.312243,0.58034,0,0,0,0,0.6,0.6,5.19994,0,0,0.00691132
1477010443050000,R,74.7453,0.735463,0.629594,7.20081,2.97024e-16,4.12487e-17,-5.88289e-18,0.859997,0.600045,5.19975,0.00179686,0.000345566,0.0138215
1477010443100000,L,0.221135,1.1605,0.494951,7.14567,-0.913965,-0.127214,-0.0118554,1.11998,0.600225,5.19943,0.00538996,0.00103664,0.0207296
1477010443150000,R,1.8248,1.25807,0.533066,7.135,0.881051,0.122861,0.0306446,1.37996,0.600629,5.19898,0.0107781,0.00207312,0.0276344
1477010443200000,L,0.167631,1.61577,0.595369,7.10874,1.15903,0.161621,0.0462131,1.6399,0.601347,5.19839,0.0179597,0.00345484,0.0345348
1477010443250000,R,7.75045,1.85109,0.561771,6.01327,0.150267,0.024984,-0.23516,1.89982,0.60247,5.19766,0.0269323,0.00518158,0.0414297
1477010443300000,L,0.254648,2.16313,0.591083,6.00994,0.238767,0.0397078,-0.179213,2.1597,0.604086,5.19678,0.0376932,0.00725307,0.0483182
1477010443350000,R,6.38855,2.37908,0.636823,5.6086,0.306773,0.0546424,-0.350755,2.41954,0.606284,5.19573,0.0502389,0.00966898,0.0551989
1477010443400000,L,0.00929769,2.65675,0.653724,5.60887,0.242641,0.0432332,-0.32777,2.67932,0.609155,5.1945,0.0645654,0.0124289,0.062071
1477010443450000,R,0.458568,2.92324,0.647121,5.54989,-0.0294865,-0.00531294,-0.484813,2.93904,0.612786,5.19309,0.080668,0.0155325,0.0689333
1477010443500000,L,1.21671,3.15953,0.642414,5.50525,-0.103628,-0.0188212,-0.448477,3.19869,0.617267,5.19147,0.0985415,0.0189791,0.0757847
1477010443550000,R,1.25395,3.44489,0.538427,5.46013,-0.91997,-0.166921,-0.860307,3.45825,0.622685,5.18963,0.11818,0.0227684,0.0826241
1477010443600000,L,2.0516,3.74793,0.426392,5.37476,-1.57237,-0.284605,-1.0767,3.71772,0.62913,5.18754,0.139576,0.0268996,0.0894504
1477010443650000,R,4.18189,4.02907,0.510088,5.49881,-0.82467,-0.148863,-0.556974,3.97708,0.636689,5.18519,0.162724,0.0313721,0.0962627
1477010443700000,L,0.389811,4.3032,0.501738,5.48796,-0.784606,-0.142006,-0.473438,4.23632,0.645449,5.18256,0.187614,0.0361852,0.10306
1477010443750000,R,2.20535,4.56476,0.535679,5.44511,-0.568958,-0.104112,-0.342512,4.49542,0.655498,5.17962,0.214238,0.0413382,0.10984
1477010443800000,L,13.2633,4.75671,0.639894,5.32797,-0.031441,-0.00590106,-0.103824,4.75437,0.666921,5.17634,0.242587,0.0468302,0.116604
1477010443850000,R,2.2566,5.01007,0.637092,5.27602,-0.0829465,-0.0157201,-0.115432,5.01315,0.679804,5.1727,0.272649,0.0526604,0.123349
1477010443900000,L,2.2828,5.31102,0.636099,5.31821,-0.103826,-0.0195203,-0.111377,5.27175,0.694234,5.16867,0.304413,0.0588279,0.130074
1477010443950000,R,1.66538,5.56849,0.644367,5.32016,-0.0682815,-0.0128338,-0.0888014,5.53013,0.710295,5.16422,0.337868,0.0653316,0.136779
1477010444000000,L,1.48474,5.86144,0.662367,5.34764,-0.0145656,-0.00272374,-0.0645385,5.78828,0.728072,5.15932,0.372999,0.0721706,0.143463
1477010444050000,R,3.94257,6.10595,0.587679,5.29784,-0.301285,-0.0568083,-0.147342,6.04618,0.747647,5.15393,0.409793,0.0793437,0.150124
1477010444100000,L,4.16103,6.36323,0.702154,5.28014,0.0971667,0.0184002,-0.021427,6.30379,0.769103,5.14803,0.448233,0.0868499,0.156761
1477010444150000,R,0.927963,6.61555,0.732472,5.24824,0.167924,0.0319854,-0.000617801,6.5611,0.792523,5.14157,0.488305,0.0946879,0.163373
1477010444200000,L,0.368378,6.86397,0.732634,5.23524,0.14374,0.0274493,-0.00685306,6.81808,0.817988,5.13452,0.52999,0.102857,0.169959
1477010444250000,R,3.78265,7.11119,0.714703,5.19012,0.057544,0.0110868,-0.0303416,7.07469,0.845578,5.12685,0.573269,0.111355,0.176519
1477010444300000,L,3.72223,7.33495,0.799867,5.14083,0.285586,0.0554954,0.0309665,7.3309,0.875373,5.11851,0.618123,0.120181,0.183051
1477010444350000,R,3.54794,7.62155,0.811434,5.19045,0.288843,0.0555916,0.0293759,7.58668,0.907449,5.10946,0.664531,0.129333,0.189554
1477010444400000,L,0.566958,7.87146,0.791902,5.18552,0.20518,0.0395473,0.00730278,7.84199,0.941886,5.09966,0.712469,0.138811,0.196027
1477010444450000,R,2.79323,8.12459,0.808505,5.15533,0.217123,0.0420913,0.00882783,8.0968,0.978759,5.08907,0.761915,0.148612,0.202468
1477010444500000,L,0.698933,8.36338,0.827808,5.13501,0.242406,0.0471716,0.0147213,8.35106,1.01814,5.07766,0.812843,0.158735,0.208879
1477010444550000,R,6.69033,8.62677,0.913828,5.15418,0.439093,0.0849865,0.0609229,8.60472,1.06011,5.06537,0.865226,0.169179,0.215255
1477010444600000,L,1.09473,8.8639,0.973946,5.12355,0.549231,0.10679,0.0836983,8.85775,1.10473,5.05216,0.919037,0.179942,0.221599
1477010444650000,R,6.45055,9.14876,1.01157,5.15312,0.593545,0.114676,0.0877375,9.1101,1.15208,5.03798,0.974245,0.191022,0.227907
1477010444700000,L,0.868329,9.38575,1.04652,5.12844,0.628809,0.122003,0.0915338,9.36172,1.20223,5.0228,1.03082,0.202417,0.234179
1477010444750000,R,4.48633,9.66071,1.11679,5.14253,0.743954,0.14367,0.111506,9.61255,1.25524,5.00656,1.08873,0.214126,0.240414
1477010444800000,L,3.30478,9.92937,1.24427,5.12135,0.984969,0.190006,0.159449,9.86254,1.31118,4.98922,1.14794,0.226147,0.246611
1477010444850000,R,4.73071,10.1815,1.33222,5.07376,1.11585,0.21648,0.18269,10.1117,1.37011,4.97074,1.20841,0.238478,0.252769
